response_id,timestamp,user_type,age_range,income_range,subscription_plan,uses_fintrack_mobile,mobile_satisfaction,wants_improved_mobile_app,mobile_importance,primary_mobile_use_case,feature_most_used,biggest_pain_point,would_pay_more_for_ai,competitor_also_used,additional_comments
11,2024-09-05 09:48:52,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
12,2024-09-05 11:30:28,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,YNAB,I wish there was a simpler mode for people just trying to get out of debt. Too many features I don't need.
13,2024-09-05 14:15:03,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Log manual transactions,Bank Sync,Bank sync breaks,Yes,None,My credit union isn't supported so I have to manually log everything. A better mobile entry form would help a lot.
14,2024-09-06 08:22:39,investor,50+,$150k+,annual,Yes,2,Maybe,Medium,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,Need to be able to track individual stock performance and dividends. The current net worth tracker is too basic.
15,2024-09-06 10:44:15,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,We have five kids so managing the household budget is intense. The family features need a lot of work.
16,2024-09-06 13:08:50,young_professional,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,Bank sync breaks every time my bank updates security. Kills my trust in the data.
17,2024-09-07 09:33:26,freelancer,30-39,$50k-$100k,annual,Yes,3,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,As a freelancer my income varies wildly month to month. The budget setup doesn't handle variable income well at all.
18,2024-09-07 11:55:02,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,None,Please fix bank sync. I'm trying to pay off $28k in student loans and I need accurate data every day.
19,2024-09-07 14:18:38,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,AI Categorization,AI miscategorization,Yes,None,Love the AI categorization overall. Just wish it learned from my corrections faster.
20,2024-09-08 08:41:14,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,Monarch Money,We're comparing FinTrack and Monarch Money for family budgeting. Monarch's mobile is better but FinTrack's categories are more detailed.
21,2024-09-08 10:03:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Maybe,None,The loading times on 4G are really bad. I've given up checking the app mid-commute.
22,2024-09-09 09:26:26,investor,40-49,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,If you added proper brokerage integration I would cancel Empower immediately.
23,2024-09-09 11:48:02,debt_payoff,22-29,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,YNAB,The envelope budgeting concept was easier in YNAB. FinTrack feels more like tracking than planning.
24,2024-09-09 14:10:38,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
25,2024-09-10 08:33:14,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,Bill alerts would be a game changer for us. We have subscriptions all over the place.
26,2024-09-10 10:55:50,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,Copilot,Pretty happy with FinTrack. Copilot has a nicer interface but I like FinTrack's reporting more.
27,2024-09-10 13:18:26,freelancer,22-29,Under $50k,monthly,Yes,2,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,I have three different income streams and setting up the budget to reflect that took forever.
28,2024-09-11 07:41:02,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,
29,2024-09-11 09:03:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,When I can't trust the numbers I feel like I'm flying blind on my debt payoff plan.
30,2024-09-11 11:26:14,family,40-49,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
31,2024-09-12 08:48:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,Saving for a down payment on a condo. I need this app to work perfectly on mobile since I check it every morning.
32,2024-09-12 10:11:26,investor,50+,$150k+,annual,No,1,Yes,Low,View net worth,Net Worth Tracker,No investment tracking,No,Empower,I use Empower for everything investment-related. Only keep FinTrack for expense tracking.
33,2024-09-12 13:34:02,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Maybe,None,
34,2024-09-13 08:56:38,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Yes,YNAB,I started with YNAB but it was too expensive. FinTrack is more affordable but harder to learn.
35,2024-09-13 10:19:14,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
36,2024-09-13 13:41:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,My bank connection breaks at least twice a month. It's my biggest frustration with the app.
37,2024-09-14 09:04:26,young_professional,22-29,$50k-$100k,monthly,Yes,3,Yes,High,Log manual transactions,AI Categorization,AI miscategorization,Maybe,None,
38,2024-09-14 11:27:02,family,40-49,$150k+,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,Monarch Money,
39,2024-09-14 14:49:38,investor,40-49,$150k+,annual,Yes,3,Maybe,Medium,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,The net worth tracker is useful but I need portfolio performance tracking that goes beyond simple account balances.
40,2024-09-15 08:12:14,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,None,
41,2024-09-15 10:34:50,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,AI Categorization,AI miscategorization,Yes,None,The AI categorization has gotten so much better. Occasionally misreads subscriptions but mostly solid.
42,2024-09-16 08:57:26,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,Would really appreciate a bill calendar widget for the phone home screen.
43,2024-09-16 11:20:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,I check FinTrack first thing every morning. When bank sync is broken it ruins my whole morning routine.
44,2024-09-16 14:42:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,It took me multiple YouTube videos to figure out how to set up a proper debt payoff plan in FinTrack.
45,2024-09-17 09:05:14,freelancer,30-39,$100k-$150k,annual,Yes,2,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,The monthly budget model doesn't work for freelancers. I need a rolling or quarterly budget option.
46,2024-09-17 11:27:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
47,2024-09-17 14:50:26,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,My spouse and I can't view each other's transactions easily. Shared household view is missing.
48,2024-09-18 08:13:02,investor,40-49,$150k+,annual,Yes,3,Maybe,Medium,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,
49,2024-09-18 10:35:38,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,Bank sync breaks,Yes,None,Love the concept. The execution on mobile just needs a lot of polish.
50,2024-09-18 13:58:14,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,YNAB,
51,2024-09-19 07:20:50,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,The product is great on desktop. Mobile feels like an afterthought.
52,2024-09-19 09:43:26,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
53,2024-09-19 12:06:02,young_professional,22-29,$50k-$100k,monthly,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
54,2024-09-20 08:28:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,When sync breaks I feel like I've lost control of my finances. It's more stressful than helpful at that point.
55,2024-09-20 10:51:14,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
56,2024-09-20 14:13:50,family,40-49,$150k+,annual,Yes,3,No,Medium,Check bill calendar,Budget Goals,Missing bill alerts,No,None,Overall pretty satisfied. Bill alerts is the one thing I keep wishing for.
57,2024-09-21 08:36:26,investor,50+,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,I track seven brokerage accounts and FinTrack just can't keep up with Empower for that use case.
58,2024-09-21 11:59:02,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,Copilot,Tried Copilot for a month. Came back to FinTrack but Copilot's mobile experience is significantly better.
59,2024-09-22 08:21:38,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Yes,None,
60,2024-09-22 10:44:14,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
61,2024-09-22 13:06:50,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,AI Categorization,AI miscategorization,Yes,None,AI categorization is the main reason I chose FinTrack over competitors. Keep investing in it.
62,2024-09-23 08:29:26,freelancer,30-39,$50k-$100k,monthly,Yes,2,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
63,2024-09-23 10:52:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,I recommended FinTrack to two friends but warned them about the bank sync reliability issues.
64,2024-09-23 14:14:38,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,YNAB,
65,2024-09-24 08:37:14,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,Monarch Money,Monarch's family features are better but FinTrack is cheaper. We're sticking with FinTrack for now.
66,2024-09-24 11:59:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
67,2024-09-25 08:22:26,investor,40-49,$150k+,annual,Yes,3,Maybe,Low,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,I mainly use mobile to check my net worth quickly. Don't really need much else on mobile.
68,2024-09-25 10:45:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,AI Categorization,AI miscategorization,Yes,None,My coworkers all use different budget apps. I keep defending FinTrack but the mobile problems make it hard.
69,2024-09-25 14:07:38,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
70,2024-09-26 08:30:14,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
71,2024-09-26 10:52:50,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,Overall I'm happy with FinTrack. Mobile could be faster but it gets the job done.
72,2024-09-26 14:15:26,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,None,I'm in month four of my debt payoff plan and bank sync issues have thrown off my numbers three times.
73,2024-09-27 08:38:02,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,Copilot,
74,2024-09-27 11:00:38,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,We pay 14 subscriptions every month. Missing bill alerts has already cost us late fees twice.
75,2024-09-27 14:23:14,investor,50+,$150k+,annual,No,1,Yes,Low,View net worth,Net Worth Tracker,No investment tracking,No,Empower,I don't use the mobile app at all. Just Empower for my investments and FinTrack on desktop for expenses.
76,2024-09-28 08:45:50,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
77,2024-09-28 11:08:26,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,The debt snowball/avalanche options are buried too deep in the menus. I barely found them.
78,2024-09-28 14:31:02,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
79,2024-09-29 08:53:38,young_professional,30-39,$100k-$150k,annual,Yes,2,Yes,High,Check spending,AI Categorization,Mobile UX is slow,Yes,None,The app is so slow on older phones. Not everyone has the latest iPhone.
80,2024-09-29 11:16:14,freelancer,22-29,$50k-$100k,monthly,Yes,3,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,Really need a way to set a budget that accounts for months where I earn almost nothing.
81,2024-09-30 08:38:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,
82,2024-09-30 10:01:26,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,YNAB,
83,2024-09-30 13:24:02,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,Love the budget categories but the mobile interface needs a serious redesign.
84,2024-10-01 07:46:38,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
85,2024-10-01 09:09:14,investor,40-49,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,Please add stock and ETF tracking. That's the one feature that would make FinTrack my single financial app.
86,2024-10-01 11:31:50,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
87,2024-10-02 08:54:26,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,Trying to save 20% of my income every month. I use FinTrack to keep myself honest but the mobile bugs undermine my confidence in the data.
88,2024-10-02 11:17:02,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
89,2024-10-02 14:39:38,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
90,2024-10-03 08:02:14,family,40-49,$150k+,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,Monarch Money,
91,2024-10-03 09:24:50,freelancer,30-39,$100k-$150k,annual,Yes,2,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,I invoice clients on irregular schedules so my income is lumpy. FinTrack's budgeting assumes a steady paycheck.
92,2024-10-03 11:47:26,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
93,2024-10-04 07:10:02,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,None,I work two jobs and track every dollar. When sync breaks it throws off my whole debt timeline calculations.
94,2024-10-04 09:32:38,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,Copilot,
95,2024-10-04 11:55:14,family,30-39,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
96,2024-10-05 08:17:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Bank sync breaks,Yes,None,I've had three bank connections break in the last two months. Almost switched apps because of this.
97,2024-10-05 10:40:26,investor,50+,$150k+,annual,Yes,3,Maybe,Low,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,
98,2024-10-05 13:03:02,family,40-49,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,A family account with separate spending views for each family member would be really helpful.
99,2024-10-06 08:25:38,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
100,2024-10-06 10:48:14,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,The AI insights feature is promising. I'd pay a few dollars more a month if it got smarter.
101,2024-10-06 13:10:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
102,2024-10-07 08:33:26,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
103,2024-10-07 10:56:02,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,YNAB,Paying off $42k in credit card debt. This app is helpful but only when the data is accurate.
104,2024-10-07 14:18:38,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
105,2024-10-08 08:41:14,investor,40-49,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,
106,2024-10-08 10:03:50,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,We have three kids in activities and managing the cash flow is stressful. Better bill tracking would help.
107,2024-10-08 12:26:26,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
108,2024-10-09 07:49:02,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Yes,None,Living on a tight budget in a high cost-of-living city. Every dollar counts and I need this app to work reliably.
109,2024-10-09 09:11:38,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
110,2024-10-09 11:34:14,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,Monarch Money,
111,2024-10-10 07:56:50,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,I'd love a widget for my phone lock screen showing today's spending against my daily budget.
112,2024-10-10 09:19:26,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,
113,2024-10-10 11:42:02,freelancer,22-29,$50k-$100k,annual,Yes,2,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,Freelancer budgeting is just fundamentally different. FinTrack treats me like a salaried employee.
114,2024-10-11 07:04:38,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
115,2024-10-11 09:27:14,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
116,2024-10-11 11:49:50,investor,40-49,$150k+,annual,Yes,3,Maybe,Medium,View net worth,Net Worth Tracker,No investment tracking,Maybe,Empower,Good for expense tracking and budgeting. Just not useful for my investment portfolio.
117,2024-10-12 07:12:26,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Mobile UX is slow,Yes,None,The app is just too slow. I've timed it at 8 seconds to load my dashboard on LTE.
118,2024-10-12 09:35:02,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,YNAB,
119,2024-10-12 11:57:38,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
120,2024-10-13 08:20:14,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,The AI spending insights are useful. I discovered I was spending $300/month on random Amazon purchases I hadn't tracked.
121,2024-10-13 10:42:50,family,40-49,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
122,2024-10-14 07:05:26,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
123,2024-10-14 09:28:02,debt_payoff,30-39,$50k-$100k,monthly,Yes,3,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,
124,2024-10-14 11:50:38,investor,50+,$150k+,annual,Yes,2,Maybe,Low,View net worth,Net Worth Tracker,No investment tracking,No,Empower,
125,2024-10-15 07:13:14,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,Copilot,Copilot's mobile design is cleaner but FinTrack's budgeting depth is better. I wish you'd combine the two.
126,2024-10-15 09:35:50,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
127,2024-10-15 12:58:26,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Yes,None,Please simplify the debt payoff setup. It shouldn't take a finance degree to get started.
128,2024-10-16 08:21:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,
129,2024-10-16 10:43:38,family,40-49,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
130,2024-10-16 13:06:14,freelancer,30-39,$100k-$150k,annual,Yes,3,Yes,High,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,I do consulting on the side of my main job. Tracking two income streams is awkward in FinTrack.
131,2024-10-17 07:28:50,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,Bank Sync,Mobile UX is slow,Yes,None,
132,2024-10-17 09:51:26,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Maybe,None,Two of my credit card accounts refuse to sync. I've contacted support three times with no fix.
133,2024-10-17 12:14:02,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
134,2024-10-18 07:36:38,family,30-39,$100k-$150k,annual,Yes,2,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,Monarch Money,
135,2024-10-18 09:59:14,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,Critical,Check spending,Bank Sync,Mobile UX is slow,Yes,None,A first-time homebuyer trying to track every dollar. The slow mobile app is genuinely hurting my ability to stay on top of my budget.
136,2024-10-18 12:21:50,investor,40-49,$150k+,annual,Yes,3,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,
137,2024-10-19 07:44:26,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
138,2024-10-19 10:07:02,family,40-49,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
139,2024-10-19 13:29:38,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,I've lost trust in the bank sync after too many failures. I now manually verify every transaction which defeats the purpose.
140,2024-10-20 08:52:14,young_professional,30-39,$100k-$150k,annual,Yes,4,No,High,Check spending,AI Categorization,AI miscategorization,Yes,None,
141,2024-10-20 11:14:50,debt_payoff,30-39,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,YNAB,
142,2024-10-20 14:37:26,family,30-39,$100k-$150k,annual,Yes,3,Yes,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,
143,2024-10-21 07:00:02,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,My number one request: make bank sync work consistently. Everything else is secondary.
144,2024-10-21 09:22:38,investor,40-49,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,
145,2024-10-21 11:45:14,family,40-49,$150k+,annual,Yes,3,Maybe,High,Check bill calendar,Budget Goals,Missing bill alerts,No,None,
146,2024-10-22 08:07:50,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,None,
